port_name,country,hazard,downtime
Komatsushima,Japan,earthquake,0.010738439078282827
Napoli,Italy,earthquake,0.0
Bohai Bay,China,earthquake,0.0
Tacoma,U.S.A.,earthquake,0.0
Port Hueneme,U.S.A.,earthquake,0.01069821502966034
Trabzon,Turkey,earthquake,0.0
Guayaquil,Ecuador,earthquake,0.0
Puerto Ilo,Peru,earthquake,0.0
Lazaro Cardenas,Mexico,earthquake,0.0
Korsakov,Russia,earthquake,0.01069821502966034
Tsuruga Ko,Japan,earthquake,0.0
Otaru Ko,Japan,earthquake,0.0
Cirebon,Indonesia,earthquake,0.0
Topolorampo,Mexico,earthquake,0.0042337417570816015
Kanda,Japan,earthquake,0.0
Imabari Ko,Japan,earthquake,0.0
Mina Saqr,United Arab Emirates,earthquake,0.0
Puerto Moin,Costa Rica,earthquake,0.038305510127971065
Manila,Philippines,earthquake,0.010738439078282827
Ash Shariqah,United Arab Emirates,earthquake,0.0
Bandar Abbas,Iran,earthquake,0.0
Puerto Cabello,Venezuela,earthquake,0.0
Istanbul,Turkey,earthquake,0.0
Nanao Ko,Japan,earthquake,0.05349107514830171
Kavieng Harbor,Papua New Guinea,earthquake,0.0
Golcuk Burnu,Turkey,earthquake,0.0
Honiara,Solomon Islands,earthquake,0.01069821502966034
Davao,Philippines,earthquake,0.06222897145800107
Kingston,Jamaica,earthquake,0.0
Sikka,India,earthquake,0.0
Pomalaa,Indonesia,earthquake,0.0
Kudamatsu,Japan,earthquake,0.010738439078282827
Amagasaki,Japan,earthquake,0.0
PelabuhanRatuCoalPowerPlant,Indonesia,earthquake,0.0
Kobe,Japan,earthquake,0.01697265625
Sakai Ko,Japan,earthquake,0.0
Bayrut,Lebanon,earthquake,0.0
Kao Hsiung,Taiwan,earthquake,0.0
Tangshan (Jingtang),China,earthquake,0.010738439078282827
Port Noro,Solomon Islands,earthquake,0.01069821502966034
Monfalcone,Italy,earthquake,0.0
Taicang,China,earthquake,0.0
Shougang Jingtang,China,earthquake,0.0
Kendari,Indonesia,earthquake,0.0
Pulau Baai,Indonesia,earthquake,0.11324327430926423
Alger,Algeria,earthquake,0.0
Mundra,India,earthquake,0.010738439078282827
Cebu,Philippines,earthquake,0.21598048610761394
Tan-Shui,Taiwan,earthquake,0.0
Uno Ko,Japan,earthquake,0.0
Lautoka Harbor,Fiji,earthquake,0.10254505927960388
Fukuyama,Japan,earthquake,0.010738439078282827
Ako,Japan,earthquake,0.0
Bar,Montenegro,earthquake,0.0
Reykjavik,Iceland,earthquake,0.01069821502966034
Maizuro Ko,Japan,earthquake,0.010738439078282827
Los Angeles,U.S.A.,earthquake,0.047508426161283895
Amamapare,Indonesia,earthquake,0.0
Yokohama Ko,Japan,earthquake,0.26072657985761394
Nelson,New Zealand,earthquake,0.038305510127971065
Sakata Ko,Japan,earthquake,0.03209464508898102
Genova,Italy,earthquake,0.0
Osaka,Japan,earthquake,0.01697265625
Motril,Spain,earthquake,0.0
Livorno,Italy,earthquake,0.010738439078282827
Nasipit Port,Philippines,earthquake,0.06222897145800107
Homikawa,Japan,earthquake,0.07572268837775108
Hiroshima,Japan,earthquake,0.0
Bahia De Matarani,Peru,earthquake,0.0
Qinhuangdao,China,earthquake,0.0
Poti,Georgia,earthquake,0.0
Bahia San Nicolas,Peru,earthquake,0.26072657985761394
Hopa,Turkey,earthquake,0.0
Wakamatsu Ko,Japan,earthquake,0.010738439078282827
Cagatan De Oro,Philippines,earthquake,0.03308031486742424
Manokwari Road,Indonesia,earthquake,0.0
Iligan,Philippines,earthquake,0.029480054450757576
Koper,Slovenia,earthquake,0.0
Villanueva,Philippines,earthquake,0.01069821502966034
Fushiki-Toyama,Japan,earthquake,0.08350472937145428
Hososhima Ko,Japan,earthquake,0.0
Takuma,Japan,earthquake,0.0
Soudha,Greece,earthquake,0.0
Yatsushiro Ko,Japan,earthquake,0.0
Kinuura Ko,Japan,earthquake,0.0
Kagoshima Ko,Japan,earthquake,0.0
Wellington,New Zealand,earthquake,0.0
Donggala,Indonesia,earthquake,0.0
Rumor Ko,Japan,earthquake,0.0
Changshu,China,earthquake,0.0
Bayuquan,China,earthquake,0.0
Djibouti,Djibouti,earthquake,0.10254505927960388
Hachinohe Ko,Japan,earthquake,0.06222897145800107
Kure,Japan,earthquake,0.0
Hakata,Japan,earthquake,0.0
Baltiysk,Russia,earthquake,0.0
Bukhta nagayeva (Nagadan),Russia,earthquake,0.0
Willemstad,Curacao,earthquake,0.0
Nantong,China,earthquake,0.0
Buco,Philippines,earthquake,0.01069821502966034
Lae,Papua New Guinea,earthquake,0.01697265625
Iskenderun,Turkey,earthquake,0.01069821502966034
Waingapu,Indonesia,earthquake,0.01069821502966034
Nuku Alofa,Tonga,earthquake,0.11324327430926423
Takamatsu,Japan,earthquake,0.0
Manzanillo,Mexico,earthquake,0.0
Tokyo Ko,Japan,earthquake,0.25860322852476425
Wakayama-Shimotsu Ko,Japan,earthquake,0.01697265625
Bamdar-E Shahid Reajie,Iran,earthquake,0.0
Mersin,Turkey,earthquake,0.0
Kushiro Ko,Japan,earthquake,0.10826400489810234
Tuapse,Russia,earthquake,0.0
Akureyri,Iceland,earthquake,0.0
Portland,U.S.A.,earthquake,0.0
Santo Thomas De Castilla,Guatemala,earthquake,0.01069821502966034
Thessaloniki,Greece,earthquake,0.0
Kupang,Indonesia,earthquake,0.0
Ampenan,Indonesia,earthquake,0.010738439078282827
Tauranga,New Zealand,earthquake,0.01069821502966034
Acajutla,El Salvador,earthquake,0.0
Saipan,Northern Mariana Islands,earthquake,0.0
Ende,Indonesia,earthquake,0.038305510127971065
Niihama,Japan,earthquake,0.0
Pelabuhan Tanjung Wangi,Indonesia,earthquake,0.0
Mishima-Kawanoe Ko,Japan,earthquake,0.0
Jakarta,Indonesia,earthquake,0.0
Novorossiysk,Russia,earthquake,0.0
New Plymouth,New Zealand,earthquake,0.0
Batangas City,Philippines,earthquake,0.05374264333300106
Puerto Castilla,Honduras,earthquake,0.01069821502966034
Gemlik,Turkey,earthquake,0.0
Petrapavlovsk,Russia,earthquake,0.01069821502966034
Hilo,U.S.A.,earthquake,0.01690908006865038
Sayda,Lebanon,earthquake,0.0
Tanjung Sekong,Indonesia,earthquake,0.01069821502966034
Akita-Funakawa Ko,Japan,earthquake,0.038305510127971065
Puerto Caldera,Chile,earthquake,0.047621807686456116
Rada Di vado,Italy,earthquake,0.0
Nagoya Ko,Japan,earthquake,0.0
Muroran Ko,Japan,earthquake,0.010738439078282827
Tsukumi Ko,Japan,earthquake,0.0
Nagasaki,Japan,earthquake,0.0
Timaru,New Zealand,earthquake,0.0
Belawan,Indonesia,earthquake,0.0
Tai-Chung Kang,Taiwan,earthquake,0.010738439078282827
Larnaca,Cyprus,earthquake,0.0
Teluk Bayur,Indonesia,earthquake,0.1080588364398757
Suva Harbor,Fiji,earthquake,0.0
Subio Bay,Philippines,earthquake,0.0
Atapupu,Indonesia,earthquake,0.01069821502966034
Port Lyttelton,New Zealand,earthquake,0.01690908006865038
Onodo,Japan,earthquake,0.0
Kandla,India,earthquake,0.0
Guaymas,Mexico,earthquake,0.01697265625
Stockton,U.S.A.,earthquake,0.013372395833333332
Himeji,Japan,earthquake,0.01697265625
Chittagong,Bangladesh,earthquake,0.0
Bajo Grande,Venezuela,earthquake,0.0
Semarang,Indonesia,earthquake,0.0
Rangoon,Myanmar,earthquake,0.010738439078282827
Higashi-Harima,Japan,earthquake,0.01697265625
Karatsu,Japan,earthquake,0.0
Amirabad Port,Iran,earthquake,0.0
Tocopilla,Chile,earthquake,0.03668057528409091
Shimizu Ko,Japan,earthquake,0.19415082389974453
Puerto De Haina,Dominican Republic,earthquake,0.0
Sakaide Ko,Japan,earthquake,0.01697265625
Mitsiwa Harbor,Eritrea,earthquake,0.0
Nemrut Limani Bay,Turkey,earthquake,0.01697265625
Bandirma,Turkey,earthquake,0.0
Mizushima Ko,Japan,earthquake,0.01697265625
